Processed 55163 csets from 2833 developers
373 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
Lydia Wang                  23 (0.0%)
Peter Foley                 23 (0.0%)
Andrei Warkentin            23 (0.0%)
Kevin Cernekee              23 (0.0%)
Padmanabh Ratnakar          23 (0.0%)
Hsu, Kenny                  23 (0.0%)
Mat Martineau               23 (0.0%)
Eric Miao                   22 (0.0%)
Shan Wei                    22 (0.0%)
Mike Marciniszyn            22 (0.0%)
Andy Whitcroft              22 (0.0%)
Grazvydas Ignotas           22 (0.0%)
Ilija Hadzic                22 (0.0%)
Mike Snitzer                22 (0.0%)
Ryan Mallon                 22 (0.0%)
John Crispin                22 (0.0%)
Ajit Khaparde               22 (0.0%)
Aisheng Dong                22 (0.0%)
Seth Jennings               22 (0.0%)
Becky Bruce                 22 (0.0%)
JJ Ding                     22 (0.0%)
Mythri P K                  22 (0.0%)
Leon Romanovsky             22 (0.0%)
Ulf Hansson                 21 (0.0%)
Sangbeom Kim                21 (0.0%)
Peter Hurley                21 (0.0%)
Julian Anastasov            21 (0.0%)
Alex Williamson             21 (0.0%)
Shubhrajyoti D              21 (0.0%)
Tristan Ye                  21 (0.0%)
Daniel Kiper                21 (0.0%)
Yi Zou                      21 (0.0%)
Kashyap, Desai              21 (0.0%)
Sukesh Srikakula            21 (0.0%)
Kamil Debski                21 (0.0%)
Christian König            21 (0.0%)
Heikki Krogerus             21 (0.0%)
Donggeun Kim                20 (0.0%)
KyungMin Park               20 (0.0%)
Lee, Chun-Yi                20 (0.0%)
Alexey Khoroshilov          20 (0.0%)
Weston Andros Adamson       20 (0.0%)
Adrian Knoth                20 (0.0%)
Raymond Yau                 20 (0.0%)
Mark Fasheh                 20 (0.0%)
Xiangliang Yu               20 (0.0%)
Bart Van Assche             20 (0.0%)
Peter Korsgaard             20 (0.0%)
Jason Baron                 20 (0.0%)
Roopa Prabhu                20 (0.0%)
Jörn Engel                 20 (0.0%)
Finn Thain                  20 (0.0%)
Neal Cardwell               20 (0.0%)
Eugenia Emantayev           20 (0.0%)
Andy Adamson                19 (0.0%)
Padmavathi Venna            19 (0.0%)
Herbert Xu                  19 (0.0%)
Stefano Stabellini          19 (0.0%)
Anirban Chakraborty         19 (0.0%)
Sunil Mushran               19 (0.0%)
Mandeep Singh Baines        19 (0.0%)
Jean Pihet                  19 (0.0%)
Saurav Kashyap              19 (0.0%)
David Vrabel                19 (0.0%)
Ariel Elior                 19 (0.0%)
Jack Morgenstein            19 (0.0%)
Andy Green                  19 (0.0%)
David Teigland              18 (0.0%)
John Johansen               18 (0.0%)
Bing Zhao                   18 (0.0%)
Arve Hjønnevåg            18 (0.0%)
