University of Wisconsin      1 (0.0%)
Oc�-Technologies             1 (0.0%)
ZAT                          1 (0.0%)
Blue Technix                 1 (0.0%)
Bluegiga                     1 (0.0%)
Secomea A/S                  1 (0.0%)
Enmotus                      1 (0.0%)
Sony                         1 (0.0%)
Highloadlab                  1 (0.0%)
Saltstorm labs               1 (0.0%)
Frequentis AG                1 (0.0%)
Mrk Industries               1 (0.0%)
nxtControl                   1 (0.0%)
Yahoo                        1 (0.0%)
Harris Corporation           1 (0.0%)
Nvidia                       1 (0.0%)
Dialog Semiconductor         1 (0.0%)
CeTT                         1 (0.0%)
Gazzang                      1 (0.0%)
Wabtec Railway Electronics    1 (0.0%)
Aker Solutions               1 (0.0%)
Geschwister Schneider Technologie    1 (0.0%)
Whamcloud                    1 (0.0%)
Transmode Systems            1 (0.0%)
Kontron Europe               1 (0.0%)
Embecosm Limited             1 (0.0%)
University of Michigan       1 (0.0%)
PIKA Technologies            1 (0.0%)
picoChip Designs             1 (0.0%)
Stream Processors            1 (0.0%)
Starboard Storage Systems    1 (0.0%)
LiveU                        1 (0.0%)
Facebook                     1 (0.0%)
Cybozu Labs                  1 (0.0%)
Juniper Networks             1 (0.0%)
Ooyala                       1 (0.0%)
TIL Technologies             1 (0.0%)
Pixar Animation Studios      1 (0.0%)
Telecom-Service              1 (0.0%)
NITA                         1 (0.0%)
NewFlow                      1 (0.0%)
Lyrtech                      1 (0.0%)
Baidu                        1 (0.0%)
ZONER software               1 (0.0%)
Three-Speed Logic            1 (0.0%)
Toshiba                      1 (0.0%)
Verio                        1 (0.0%)
Bossers & Cnossen            1 (0.0%)
HighPoint Technologies       1 (0.0%)
BlueCat Networks             1 (0.0%)
National Institutes of Health    1 (0.0%)
Sandisk                      1 (0.0%)
Aviat Networks               1 (0.0%)

Top lines changed by employer

Employers with the most signoffs (total 116307)
Red Hat                   17611 (15.1%)
Intel                     10957 (9.4%)
Linux Foundation          10662 (9.2%)
(None)                    9227 (7.9%)
Linaro                    5553 (4.8%)
Google                    5111 (4.4%)
Samsung                   4118 (3.5%)
Texas Instruments         3862 (3.3%)
IBM                       3750 (3.2%)
Novell                    3554 (3.1%)
(Unknown)                 1991 (1.7%)
Wolfson Microelectronics  1978 (1.7%)
Vision Engraving Systems  1828 (1.6%)
Renesas Electronics       1545 (1.3%)
Broadcom                  1372 (1.2%)
LINBIT                    1274 (1.1%)
(Consultant)              1117 (1.0%)
Parallels                 1081 (0.9%)
NVidia                    1078 (0.9%)
Oracle                    1012 (0.9%)
Freescale                  970 (0.8%)
AMD                        930 (0.8%)
Fusion-IO                  861 (0.7%)
Cisco                      804 (0.7%)
ARM                        787 (0.7%)
Marvell                    679 (0.6%)
Pengutronix                675 (0.6%)
QLogic                     664 (0.6%)
Fujitsu                    657 (0.6%)
Wind River                 639 (0.5%)
Huawei Technologies        595 (0.5%)
Inktank Storage            585 (0.5%)
(Academia)                 564 (0.5%)
Trend Micro                561 (0.5%)
Free Electrons             545 (0.5%)
NetApp                     540 (0.5%)
Collabora Multimedia       486 (0.4%)
Canonical                  477 (0.4%)
University of Cambridge    476 (0.4%)
OLPC                       462 (0.4%)
Qualcomm                   430 (0.4%)
Atomide                    428 (0.4%)
Ingics Technology          386 (0.3%)
SGI                        375 (0.3%)
Mellanox                   353 (0.3%)
LG Electronics             347 (0.3%)
Nokia                      340 (0.3%)
MEV Limited                325 (0.3%)
Emulex                     325 (0.3%)
Ericsson                   316 (0.3%)
Arista Networks            313 (0.3%)
Pure Storage               305 (0.3%)
tglx PITA                  292 (0.3%)
Atmel                      280 (0.2%)
ST Ericsson                273 (0.2%)
Rising Tide Systems        262 (0.2%)
Code Aurora Forum          261 (0.2%)
ST Microelectronics        240 (0.2%)
FOSS Outreach Program for Women  234 (0.2%)
Imagination Technologies   231 (0.2%)
HP                         229 (0.2%)
Avionic Design Development GmbH  226 (0.2%)
Synopsys                   218 (0.2%)
Fon                        216 (0.2%)
University of Sevilla      214 (0.2%)
Calxeda                    199 (0.2%)
Citrix                     178 (0.2%)
VA Linux Systems Japan     173 (0.1%)
DENX Software Engineering  166 (0.1%)
Brocade                    165 (0.1%)
linutronix                 157 (0.1%)
Wizery Ltd.                152 (0.1%)
Sun                        149 (0.1%)
