Maxim Integrated Products    2 (0.0%)
Canadian Bank Note Company    2 (0.0%)
Missing Link Electronics     2 (0.0%)
National ICT Australia       2 (0.0%)
Tianjin Zhongke Blue Whale Information Technologies    2 (0.0%)
Digi International           2 (0.0%)
BetterLinux                  2 (0.0%)
Pelagicore AB                2 (0.0%)
ASIX Electronics Corp.       2 (0.0%)
ISEE                         2 (0.0%)
Astek Corporation            2 (0.0%)
Collax                       2 (0.0%)
Abilis Systems               2 (0.0%)
SMSC                         2 (0.0%)
m-privacy GmbH               2 (0.0%)
Sigfox Wireless              2 (0.0%)
Signal 11 Software           2 (0.0%)
AgileMesh                    2 (0.0%)
Geomatys                     2 (0.0%)
LiPPERT Embedded Computers GmbH    2 (0.0%)
Nuvoton Technology           2 (0.0%)
OnTheNet Pty Ltd             2 (0.0%)
Pardus Linux                 2 (0.0%)
Xilinx                       2 (0.0%)
CodeSourcery                 2 (0.0%)
Armadeus Systems             2 (0.0%)
MPC Data                     2 (0.0%)
novero GmbH                  2 (0.0%)
Belden                       2 (0.0%)
SUSE                         2 (0.0%)
London Internet Exchange     2 (0.0%)
Prolan Process Control       1 (0.0%)
Elitecore Technology         1 (0.0%)
BalaBit                      1 (0.0%)
Neotion                      1 (0.0%)
Elan Digital Systems         1 (0.0%)
Sirius International         1 (0.0%)
jusst technologies GmbH      1 (0.0%)
Applied Micro Circuit Corp.    1 (0.0%)
DoréDevelopment             1 (0.0%)
Grid-Net                     1 (0.0%)
Digigram                     1 (0.0%)
TAOS Inc                     1 (0.0%)
Endian Technologies          1 (0.0%)
Microbit                     1 (0.0%)
Teleca                       1 (0.0%)
Critical Link                1 (0.0%)
Glass Expansion              1 (0.0%)
8D Technologies              1 (0.0%)
eSATURNUS                    1 (0.0%)
Contec Steuerungstechnik & Automation    1 (0.0%)
TomTom                       1 (0.0%)
taskit                       1 (0.0%)
LD DIDACTIC GmbH             1 (0.0%)
GRNET                        1 (0.0%)
O.S. Systems                 1 (0.0%)
RealVNC                      1 (0.0%)
Mentor Graphics              1 (0.0%)
Stonesoft Corporation        1 (0.0%)
Hauppauge                    1 (0.0%)
Racelogic                    1 (0.0%)
Przemysłowy Instytut Automatyki i Pomiarów    1 (0.0%)
Insignal Co.                 1 (0.0%)
Avocent                      1 (0.0%)
Cray                         1 (0.0%)
Akamai Technologies          1 (0.0%)
PWI North                    1 (0.0%)
ALT Linux Ltd                1 (0.0%)
CTERA Networks               1 (0.0%)
Znyx Networks                1 (0.0%)
IRAM                         1 (0.0%)
Kentrox                      1 (0.0%)
Oc�-Technologies             1 (0.0%)
Siano Mobile Silicon         1 (0.0%)
EMC                          1 (0.0%)
FedEx                        1 (0.0%)
Virginia Tech                1 (0.0%)
ComX Networks                1 (0.0%)
DResearch Fahrzeugelektronik GmbH    1 (0.0%)
Movial                       1 (0.0%)
WORK Microwave GmbH          1 (0.0%)
Kontron Embedded Modules     1 (0.0%)
Micrel Inc.                  1 (0.0%)
JCZ-Automatisering           1 (0.0%)
PLX                          1 (0.0%)
Guntermann & Drunck GmbH     1 (0.0%)
PMC-Sierra                   1 (0.0%)
Xentech Solutions Ltd.       1 (0.0%)
Exosec                       1 (0.0%)
jmicron.com                  1 (0.0%)
TechNexion Ltd.              1 (0.0%)
Factor-SPE                   1 (0.0%)
Allied Telesis               1 (0.0%)
MOD Systems                  1 (0.0%)
Ralink Technology            1 (0.0%)
Genband                      1 (0.0%)
University of Michigan       1 (0.0%)
Kernel Concepts              1 (0.0%)
ChargeStorm AB               1 (0.0%)
UK National Health Service    1 (0.0%)
Kionix                       1 (0.0%)
Stream Processors            1 (0.0%)
6WIND                        1 (0.0%)
LaCie                        1 (0.0%)
ScaleMP Inc.                 1 (0.0%)
Anevia                       1 (0.0%)
Yext                         1 (0.0%)
XS4ALL Internet bv           1 (0.0%)
Essensium - Mind             1 (0.0%)
Creative Technology          1 (0.0%)
University of Virginia       1 (0.0%)
Mandriva                     1 (0.0%)
Netservers Ltd.              1 (0.0%)
Le laboratoire d'informatique interactive    1 (0.0%)
Universal Scientific Industrial Co.    1 (0.0%)
aizo ag                      1 (0.0%)
Extreme Engineering Solutions    1 (0.0%)


