3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Mauro Carvalho Chehab        6 (0.1%)
H. Peter Anvin               6 (0.1%)
Bjorn Helgaas                6 (0.1%)
Eric W. Biederman            6 (0.1%)
Paul Walmsley                6 (0.1%)
Laurent Pinchart             6 (0.1%)
Steven Rostedt               6 (0.1%)
Josef Bacik                  6 (0.1%)
Heiko Carstens               6 (0.1%)
Borislav Petkov              6 (0.1%)
Peter Huewe                  6 (0.1%)
Miao Xie                     6 (0.1%)
Thomas Abraham               6 (0.1%)
Mat Martineau                6 (0.1%)
Jack Morgenstein             6 (0.1%)
Jan Schmidt                  6 (0.1%)
Rajendra Nayak               6 (0.1%)
Brian Foster                 6 (0.1%)
Toshi Kani                   6 (0.1%)
Jason Gerecke                6 (0.1%)
Durgadoss R                  6 (0.1%)
Andrea Arcangeli             6 (0.1%)
Nithin Nayak Sujir           6 (0.1%)
Doug Anderson                6 (0.1%)
Alban Bedel                  6 (0.1%)
Michel JAOUEN                6 (0.1%)
Dimitri Sivanich             6 (0.1%)
Dean Luick                   6 (0.1%)
Jacek Danecki                6 (0.1%)
Robert Coulson               6 (0.1%)
Kenji Kaneshige              6 (0.1%)
Rich Johnston                6 (0.1%)
Fabio Checconi               6 (0.1%)
Martin Schwidefsky           5 (0.1%)
Olof Johansson               5 (0.1%)
Nicolas Ferre                5 (0.1%)
Stefan Hajnoczi              5 (0.1%)
Richard Zhao                 5 (0.1%)
Ulf Hansson                  5 (0.1%)
Aaron Lu                     5 (0.1%)
Paolo Bonzini                5 (0.1%)
Shmulik Ladkani              5 (0.1%)
Yann E. MORIN                5 (0.1%)
Javier Martinez Canillas     5 (0.1%)
Steve Wise                   5 (0.1%)
Russ Dill                    5 (0.1%)
Eddie Wai                    5 (0.1%)
Moger, Babu                  5 (0.1%)
Girish K S                   5 (0.1%)
Jakob Bornecrantz            5 (0.1%)
Vincent Sanders              5 (0.1%)
Lee Duncan                   5 (0.1%)
Axel Lin                     4 (0.1%)
Ben Skeggs                   4 (0.1%)
John Crispin                 4 (0.1%)
NeilBrown                    4 (0.1%)
Andrew Lunn                  4 (0.1%)
Jiri Pirko                   4 (0.1%)
Thomas Pedersen              4 (0.1%)
Kim Phillips                 4 (0.1%)
Tao Ma                       4 (0.1%)
Cyrill Gorcunov              4 (0.1%)
John Fastabend               4 (0.1%)
Darrick J. Wong              4 (0.1%)
Joonyoung Shim               4 (0.1%)
Neil Horman                  4 (0.1%)
Wanlong Gao                  4 (0.1%)
Vipin Kumar                  4 (0.1%)
Don Fry                      4 (0.1%)
Pavel Machek                 4 (0.1%)
Ying-Chun Liu (PaulLiu)      4 (0.1%)
David Zafman                 4 (0.1%)
Per Forlin                   4 (0.1%)
Éric Piel                   4 (0.1%)
Gregory Greenman             4 (0.1%)
Martin Peschke               4 (0.1%)
Hartmut Knaack               4 (0.1%)
Andrew Dahl                  4 (0.1%)
Frank Rowand                 4 (0.1%)
Brett Rudley                 4 (0.1%)
Partha Basak                 4 (0.1%)
Wolfram Sang                 3 (0.0%)
Jingoo Han                   3 (0.0%)
Mel Gorman                   3 (0.0%)
Sakari Ailus                 3 (0.0%)
James Hogan                  3 (0.0%)
Michel Lespinasse            3 (0.0%)
David Henningsson            3 (0.0%)
Vaibhav Hiremath             3 (0.0%)
Prashant Gaikwad             3 (0.0%)
Maarten Lankhorst            3 (0.0%)
Meenakshi Venkataraman       3 (0.0%)
Kirill A. Shutemov           3 (0.0%)
Shuah Khan                   3 (0.0%)
Asias He                     3 (0.0%)
Mike Marciniszyn             3 (0.0%)
Wanpeng Li                   3 (0.0%)
Amit Daniel Kachhap          3 (0.0%)
wwang                        3 (0.0%)
Arne Jansen                  3 (0.0%)
Thomas Renninger             3 (0.0%)
Olaf Hering                  3 (0.0%)
Nagalakshmi Nandigama        3 (0.0%)
Peter Chen                   3 (0.0%)
Hannes Reinecke              3 (0.0%)
Flavio Leitner               3 (0.0%)
Vijay Purushothaman          3 (0.0%)
Johan Rudholm                3 (0.0%)
Sean Hefty                   3 (0.0%)
Matt Turner                  3 (0.0%)
Jonathan Nieder              3 (0.0%)
Bengt Jonsson                3 (0.0%)
Kenneth Graunke              3 (0.0%)
Stefan Weinhuber             3 (0.0%)
Philippe Langlais            3 (0.0%)
Alex Lyakas                  3 (0.0%)
Ulisses Furquim              3 (0.0%)
Maya Erez                    3 (0.0%)
Ramkrishna Vepa              3 (0.0%)
Stefan Nilsson               3 (0.0%)
mark gross                   3 (0.0%)
Takashi Iwai                 2 (0.0%)
Dave Airlie                  2 (0.0%)
Luciano Coelho               2 (0.0%)
Eric Dumazet                 2 (0.0%)
Ian Abbott                   2 (0.0%)
Nicholas Bellinger           2 (0.0%)
Guennadi Liakhovetski        2 (0.0%)
Peter Ujfalusi               2 (0.0%)
Sascha Hauer                 2 (0.0%)
Andrei Emeltchenko           2 (0.0%)
Andy Shevchenko              2 (0.0%)
Jesper Juhl                  2 (0.0%)
Vineet Gupta                 2 (0.0%)
Jiang Liu                    2 (0.0%)
Mike Snitzer                 2 (0.0%)
Randy Dunlap                 2 (0.0%)
Alex Williamson              2 (0.0%)
James Morris                 2 (0.0%)
Brian Norris                 2 (0.0%)
Kishon Vijay Abraham I       2 (0.0%)
stephen hemminger            2 (0.0%)
Andi Kleen                   2 (0.0%)
Daniel Lezcano               2 (0.0%)
Barry Song                   2 (0.0%)
Johannes Weiner              2 (0.0%)
Scott Wood                   2 (0.0%)
Stephen Rothwell             2 (0.0%)
Heiko Stübner               2 (0.0%)
Aneesh Kumar K.V             2 (0.0%)
Venkatraman S                2 (0.0%)
Mark Rutland                 2 (0.0%)
Mike Dunn                    2 (0.0%)
Seungwon Jeon                2 (0.0%)
Oliver Neukum                2 (0.0%)
Srikar Dronamraju            2 (0.0%)
Yong Zhang                   2 (0.0%)
Josh Cartwright              2 (0.0%)
David Vrabel                 2 (0.0%)
Lorenzo Pieralisi            2 (0.0%)
Huang Ying                   2 (0.0%)
Javier Cardona               2 (0.0%)
Vaibhav Bedia                2 (0.0%)
Sukadev Bhattiprolu          2 (0.0%)
Yi Zou                       2 (0.0%)
Dave Martin                  2 (0.0%)
Martin K. Petersen           2 (0.0%)
Yadwinder Singh Brar         2 (0.0%)
Yevgeny Petrilin             2 (0.0%)
Ilan Peer                    2 (0.0%)
Yehuda Yitschak              2 (0.0%)
Mandeep Singh Baines         2 (0.0%)
Zach Brown                   2 (0.0%)
Sha Zhengju                  2 (0.0%)
Jarkko Nikula                2 (0.0%)
Amit Beka                    2 (0.0%)
Nitin Gupta                  2 (0.0%)
Jordan Justen                2 (0.0%)
Konstantin Dorfman           2 (0.0%)
Mark Zhang                   2 (0.0%)
Ingo Tuchscherer             2 (0.0%)
Johan BJORNSTEDT             2 (0.0%)
Andreas Dilger               2 (0.0%)
Andi Shyti                   2 (0.0%)
Arun Murthy                  2 (0.0%)
Serge Hallyn                 2 (0.0%)
Hongbo Zhang                 2 (0.0%)
Paer-Olof Haakansson         2 (0.0%)
Olivier CLERGEAUD            2 (0.0%)
Guy Cohen                    2 (0.0%)
Ram Vepa                     2 (0.0%)
Grant Grundler               2 (0.0%)
Carl Worth                   2 (0.0%)
Chandra Seetharaman          2 (0.0%)
Jason Abele                  2 (0.0%)
Sergey V                     2 (0.0%)
Ryan Cairns                  2 (0.0%)
Jiandong Zheng               2 (0.0%)
Sivakumar Subramani          2 (0.0%)
Francesco Lavra              2 (0.0%)
Goffredo Baroncelli          2 (0.0%)
Vijaya Kumar K-1             2 (0.0%)
David S. Miller              1 (0.0%)
Andrew Morton                1 (0.0%)
Jiri Kosina                  1 (0.0%)
Hans Verkuil                 1 (0.0%)
Theodore Ts'o                1 (0.0%)
Lee Jones                    1 (0.0%)
Anton Vorontsov              1 (0.0%)
David Howells                1 (0.0%)
Devendra Naga                1 (0.0%)
Peter Zijlstra               1 (0.0%)
Joe Perches                  1 (0.0%)
Hauke Mehrtens               1 (0.0%)
Thomas Petazzoni             1 (0.0%)
Jiri Olsa                    1 (0.0%)
Bob Liu                      1 (0.0%)
Jeff Garzik                  1 (0.0%)
Archit Taneja                1 (0.0%)
Kim, Milo                    1 (0.0%)
Aaro Koskinen                1 (0.0%)
Dan Williams                 1 (0.0%)
Matt Fleming                 1 (0.0%)
Bruce Allan                  1 (0.0%)
David Daney                  1 (0.0%)
Rafał Miłecki              1 (0.0%)
Max Filippov                 1 (0.0%)
Hiroshi DOYU                 1 (0.0%)
Richard Cochran              1 (0.0%)
Marcin Slusarz               1 (0.0%)
Kent Yoder                   1 (0.0%)
Robert Richter               1 (0.0%)
Huang Shijie                 1 (0.0%)
Seth Forshee                 1 (0.0%)
Javier Martin                1 (0.0%)
Ohad Ben-Cohen               1 (0.0%)
Devin Heitmueller            1 (0.0%)
Giridhar Malavali            1 (0.0%)
Magnus Damm                  1 (0.0%)
Shiraz Hashim                1 (0.0%)
Tang Chen                    1 (0.0%)
Jonas Gorski                 1 (0.0%)
Patrice Chotard              1 (0.0%)
Stefano Stabellini           1 (0.0%)
Jacob Keller                 1 (0.0%)
Jeff Liu                     1 (0.0%)
Myron Stowe                  1 (0.0%)
Luis R. Rodriguez            1 (0.0%)
Jan Glauber                  1 (0.0%)
Dmitry Monakhov              1 (0.0%)
Cong Wang                    1 (0.0%)
Sean Paul                    1 (0.0%)
Johannes Thumshirn           1 (0.0%)
Shan Wei                     1 (0.0%)
Graeme Gregory               1 (0.0%)
Josh Boyer                   1 (0.0%)
Bruno Prémont               1 (0.0%)
Marek Belisko                1 (0.0%)
Egbert Eich                  1 (0.0%)
Paul Turner                  1 (0.0%)
Jan Kiszka                   1 (0.0%)
Gertjan van Wingerde         1 (0.0%)
Ryan Mallon                  1 (0.0%)
Jason Gunthorpe              1 (0.0%)
Naoya Horiguchi              1 (0.0%)
Jouni Malinen                1 (0.0%)
KOSAKI Motohiro              1 (0.0%)
Krzysztof Mazur              1 (0.0%)
Amit Shah                    1 (0.0%)
Jaehoon Chung                1 (0.0%)
Jianguo Wu                   1 (0.0%)
Ashish Sangwan               1 (0.0%)
Dav Hansen                   1 (0.0%)
Xose Vazquez Perez           1 (0.0%)
Andrew Vasquez               1 (0.0%)
Bala Shanmugam               1 (0.0%)
Amos Kong                    1 (0.0%)
Hendrik Brueckner            1 (0.0%)
Greg Thelen                  1 (0.0%)
Adrian Hunter                1 (0.0%)
Andy Walls                   1 (0.0%)
Donald Dutile                1 (0.0%)
Deepthi Dharwar              1 (0.0%)
Carsten Emde                 1 (0.0%)
Matthias Kaehlcke            1 (0.0%)
Satoru Takeuchi              1 (0.0%)
Rickard Andersson            1 (0.0%)
Tetsuo Handa                 1 (0.0%)
Eric B Munson                1 (0.0%)
Tomas Henzl                  1 (0.0%)
Hakan Berg                   1 (0.0%)
Aaron Plattner               1 (0.0%)
Sam Leffler                  1 (0.0%)
Hillf Danton                 1 (0.0%)
Suresh Jayaraman             1 (0.0%)
Vinayak Holikatti            1 (0.0%)
Shobhit Kumar                1 (0.0%)
Simon Farnsworth             1 (0.0%)
Paul Menzel                  1 (0.0%)
Yanmin Zhang                 1 (0.0%)
Eli Cohen                    1 (0.0%)
Dudley Du                    1 (0.0%)
Jeff Moyer                   1 (0.0%)
Francesco Virlinzi           1 (0.0%)
Hila Gonen                   1 (0.0%)
Assaf Krauss                 1 (0.0%)
Narayanan G                  1 (0.0%)
Steve Dickson                1 (0.0%)
Sergio Aguirre               1 (0.0%)
Srinivas Eeda                1 (0.0%)
Preeti Murthy                1 (0.0%)
Satoru Moriya                1 (0.0%)
Felipe Contreras             1 (0.0%)
Simon Kitching               1 (0.0%)
Vasiliy Kulikov              1 (0.0%)
Maciej Patelczyk             1 (0.0%)
Petr Matousek                1 (0.0%)
Bhavesh Davda                1 (0.0%)
Alexey Kuznetsov             1 (0.0%)
Andrew Cooper                1 (0.0%)
Rikard Olsson                1 (0.0%)
Jack Wang                    1 (0.0%)
Eric Miao                    1 (0.0%)
Vandana Salve                1 (0.0%)
Nicolas Guion                1 (0.0%)
Jeffrey Huang                1 (0.0%)
David Laight                 1 (0.0%)
João Paulo Rechi Vita       1 (0.0%)
Phil Carmody                 1 (0.0%)
dann frazier                 1 (0.0%)
Che-Liang Chiou              1 (0.0%)
Carmelo Amoroso              1 (0.0%)
Charulatha Varadarajan       1 (0.0%)
Bharat Nihalani              1 (0.0%)
Indan Zupancic               1 (0.0%)
Toby Gray                    1 (0.0%)
Johann Lombardi              1 (0.0%)
Nicolas de Pesloüan         1 (0.0%)
Daniel Dadap                 1 (0.0%)
Mike Heinz                   1 (0.0%)
Edward Mascarenhas           1 (0.0%)
Manu Abraham                 1 (0.0%)
Vikram Dhillon               1 (0.0%)
Jannis Pohlmann              1 (0.0%)
Vincenzo Frascino            1 (0.0%)
Chegu Vinod                  1 (0.0%)
PaX Team                     1 (0.0%)
Shawn Lu                     1 (0.0%)
Billie Alsup                 1 (0.0%)
Max Stepanov                 1 (0.0%)
Bernie Thompson              1 (0.0%)
Gary Leshner                 1 (0.0%)
Amit Kucheria                1 (0.0%)
Richard Mortimer             1 (0.0%)
Anton Altaparmakov           1 (0.0%)
Linas Vepstas                1 (0.0%)
walter harms                 1 (0.0%)
Adamson, Dros                1 (0.0%)
Serge E. Hallyn              1 (0.0%)
HATAYAMA Daisuke             1 (0.0%)
Radovan Lekanovic            1 (0.0%)
Wang Liang                   1 (0.0%)
Cai Qu                       1 (0.0%)
Jiang Biao                   1 (0.0%)
Greg Farnum                  1 (0.0%)
Shreshtha Kumar Sahu         1 (0.0%)
Ralph Birt                   1 (0.0%)
Ulf HANSSON                  1 (0.0%)
Mattias NILSSON              1 (0.0%)
Karl-Johan PERNTZ            1 (0.0%)
David Bulkow                 1 (0.0%)
Doug Covelli                 1 (0.0%)
Dan Hecht                    1 (0.0%)
Yvan FILLION                 1 (0.0%)
Jamey Sharp                  1 (0.0%)

Developers with the most test credits (total 3039)
Aaron Brown                171 (5.6%)
Phil Schmitt               156 (5.1%)
Sibai Li                    71 (2.3%)
Jeff Pieper                 63 (2.1%)
Ross Brattain               53 (1.7%)
Linus Walleij               43 (1.4%)
Simon Horman                40 (1.3%)
Liu David                   39 (1.3%)
Stephen Warren              38 (1.3%)
Kevin Hilman                35 (1.2%)
Santosh Shilimkar           32 (1.1%)
Arend van Spriel            30 (1.0%)
Chris Wilson                28 (0.9%)
Andrew Lunn                 26 (0.9%)
Rob Clark                   24 (0.8%)
Shubhrajyoti D              24 (0.8%)
Mauro Carvalho Chehab       24 (0.8%)
Daniel Wagner               23 (0.8%)
Takashi Iwai                22 (0.7%)
Vaibhav Hiremath            21 (0.7%)
Paulo Zanoni                19 (0.6%)
Thomas Petazzoni            18 (0.6%)
Prabhakar Lad               18 (0.6%)
Jamie Lentin                18 (0.6%)
Marcus Dennis               18 (0.6%)
Javier Martin               17 (0.6%)
Shawn Guo                   16 (0.5%)
Florian Fainelli            16 (0.5%)
Fengguang Wu                16 (0.5%)
Ohad Ben-Cohen              16 (0.5%)
Borislav Petkov             15 (0.5%)
Ezequiel Garcia             15 (0.5%)
Tony Lindgren               14 (0.5%)
Lokesh Vutla                14 (0.5%)
Sedat Dilek                 14 (0.5%)
Simon Baatz                 14 (0.5%)
Stephen Ko                  14 (0.5%)
Ping Cheng                  13 (0.4%)
Barry Song                  13 (0.4%)
Joachim Eastwood            13 (0.4%)
dave turvene                13 (0.4%)
Robert Nelson               13 (0.4%)
Janusz Krzysztofik          13 (0.4%)
David Ahern                 12 (0.4%)
Ben Greear                  12 (0.4%)
Thierry Reding              11 (0.4%)
Benjamin Tissoires          11 (0.4%)
Josh Cartwright             11 (0.4%)
Yijing Wang                 11 (0.4%)
Subash Patel                11 (0.4%)
Stefan Peter                11 (0.4%)
Benjamin Gaignard           11 (0.4%)
Robert Garrett              11 (0.4%)
Mika Westerberg             10 (0.3%)
Gregory CLEMENT             10 (0.3%)
Michal Simek                10 (0.3%)
Dave Jones                  10 (0.3%)
Andy Lutomirski             10 (0.3%)
Kamal Mostafa               10 (0.3%)
Govindraj.R                 10 (0.3%)
Konrad Rzeszutek Wilk        9 (0.3%)
NeilBrown                    9 (0.3%)
dann frazier                 9 (0.3%)
Roland Stigge                9 (0.3%)
Marc Zyngier                 9 (0.3%)
Sasha Levin                  9 (0.3%)
Dirk Behme                   9 (0.3%)
Peter M. Petrakis            9 (0.3%)
Massimo Morana               9 (0.3%)
Antti Palosaari              8 (0.3%)
Jonas Aberg                  8 (0.3%)
Lars-Peter Clausen           8 (0.3%)
Seth Forshee                 8 (0.3%)
Haojian Zhuang               8 (0.3%)
Michael Neuling              8 (0.3%)
Larry Finger                 8 (0.3%)
Heiko Carstens               7 (0.2%)
Yehuda Yitschak              7 (0.2%)
Aaro Koskinen                7 (0.2%)
Marc Kleine-Budde            7 (0.2%)
Philipp Zabel                7 (0.2%)
Alexandre Pereira da Silva    7 (0.2%)
Mark A. Greer                7 (0.2%)
Lior Amsalem                 7 (0.2%)
Subodh Nijsure               7 (0.2%)
Christian König             6 (0.2%)
Namhyung Kim                 6 (0.2%)
Stephen Boyd                 6 (0.2%)
Eric Dumazet                 6 (0.2%)
Kim, Milo                    6 (0.2%)
Afzal Mohammed               6 (0.2%)
Sebastian Hesselbarth        6 (0.2%)
Eldad Zack                   6 (0.2%)
Jim Cromie                   6 (0.2%)
Grazvydas Ignotas            6 (0.2%)
Oliver Hartkopp              6 (0.2%)
Eric Bénard                 6 (0.2%)
Michael Grzeschik            6 (0.2%)
Leela Krishna Amudala        6 (0.2%)
Richard W.M. Jones           6 (0.2%)
Josh Coombs                  6 (0.2%)
Yang Guang                   6 (0.2%)
Pascal Chapperon             6 (0.2%)
Jack Morgan                  6 (0.2%)
Lu Cao                       6 (0.2%)
Ben Widawsky                 5 (0.2%)
Will Deacon                  5 (0.2%)
Imre Deak                    5 (0.2%)
Michel JAOUEN                5 (0.2%)
Yann E. MORIN                5 (0.2%)
Mike Snitzer                 5 (0.2%)
Stephen Rothwell             5 (0.2%)
Mark Zhang                   5 (0.2%)
Jiri Olsa                    5 (0.2%)
Fabio Estevam                5 (0.2%)
Ming Lei                     5 (0.2%)
Tony Luck                    5 (0.2%)
Ludovic Desroches            5 (0.2%)
Nobuhiro Iwamatsu            5 (0.2%)
Lauri Hintsala               5 (0.2%)
Michael Walle                5 (0.2%)
Sander Eikelenboom           5 (0.2%)
Thomas Schäfer              5 (0.2%)
Qin Rui                      5 (0.2%)
Koen Kooi                    5 (0.2%)
Mark Brown                   4 (0.1%)
Yasuaki Ishimatsu            4 (0.1%)
Sylwester Nawrocki           4 (0.1%)
Christian Borntraeger        4 (0.1%)
Laurent Pinchart             4 (0.1%)
Olof Johansson               4 (0.1%)
Pavel Machek                 4 (0.1%)
Sakari Ailus                 4 (0.1%)
Shuah Khan                   4 (0.1%)
wwang                        4 (0.1%)
Peter Ujfalusi               4 (0.1%)
Bob Liu                      4 (0.1%)
Josh Boyer                   4 (0.1%)
Tetsuo Handa                 4 (0.1%)
Kuninori Morimoto            4 (0.1%)
Peter Senna Tschudin         4 (0.1%)
Greg Ungerer                 4 (0.1%)
Pratyush Anand               4 (0.1%)
Daniel Drake                 4 (0.1%)
Lee, Chun-Yi                 4 (0.1%)
Daniel J Blueman             4 (0.1%)
Tommi Rantala                4 (0.1%)
Eric Wong                    4 (0.1%)
Enric Balletbo i Serra       4 (0.1%)
Lin Feng                     4 (0.1%)
Peter Wu                     4 (0.1%)
Jett Zhou                    4 (0.1%)
Christian Kujau              4 (0.1%)
Rafi Rubin                   4 (0.1%)
William Dauchy               4 (0.1%)
Tom Rini                     4 (0.1%)
Chris Perl                   4 (0.1%)
Miroslav Sabljic             4 (0.1%)
Yin, Fengwei                 4 (0.1%)
Marco Cesarano               4 (0.1%)
John Murphy                  4 (0.1%)
Jesse Barnes                 3 (0.1%)
Henrik Rydberg               3 (0.1%)
Marek Vasut                  3 (0.1%)
Masami Hiramatsu             3 (0.1%)
Jon Hunter                   3 (0.1%)
Guenter Roeck                3 (0.1%)
Don Fry                      3 (0.1%)
Sascha Hauer                 3 (0.1%)
Robert Richter               3 (0.1%)
Krzysztof Mazur              3 (0.1%)
Paul Menzel                  3 (0.1%)
Chegu Vinod                  3 (0.1%)
Linus Torvalds               3 (0.1%)
Artem Bityutskiy             3 (0.1%)
Jiri Slaby                   3 (0.1%)
Sujith Manoharan             3 (0.1%)
Bjørn Mork                  3 (0.1%)
Amitkumar Karwar             3 (0.1%)
Tony Prisk                   3 (0.1%)
Fabio Baltieri               3 (0.1%)
Sekhar Nori                  3 (0.1%)
Jason Wang                   3 (0.1%)
Bart Van Assche              3 (0.1%)
Richard Genoud               3 (0.1%)
Paul Parsons                 3 (0.1%)
Marc Dietrich                3 (0.1%)
Alexander Holler             3 (0.1%)
Fabio Porcedda               3 (0.1%)
Colin Ian King               3 (0.1%)
Ryusuke Konishi              3 (0.1%)
Paul Stewart                 3 (0.1%)
Willy Tarreau                3 (0.1%)
Sergei Trofimovich           3 (0.1%)
Gaëtan Carlier              3 (0.1%)
Jim Schutt                   3 (0.1%)
Denys Fedoryshchenko         3 (0.1%)
Andrew Jones                 3 (0.1%)
Tvrtko Ursulin               3 (0.1%)
Andreas Hartmann             3 (0.1%)
Parag Warudkar               3 (0.1%)
Sylvain Munaut               3 (0.1%)
Julian Wollrath              3 (0.1%)
Vijay Mohan Pandarathil      3 (0.1%)
Wojciech Dubowik             3 (0.1%)
Jeeja KP                     3 (0.1%)
Ren, Yongjie                 3 (0.1%)
Tore Anderson                3 (0.1%)
Adam Baker                   3 (0.1%)
Stefan Lippers-Hollmann      3 (0.1%)
Aleksey Chudov               3 (0.1%)
William Douglas              3 (0.1%)
Mihai Moldovan               3 (0.1%)
Chris Clayron                3 (0.1%)
Lu Hua                       3 (0.1%)
Steev Klimaszewski           3 (0.1%)
Terje Bergstrom              3 (0.1%)
Sage Weil                    2 (0.1%)
Jean Delvare                 2 (0.1%)
Michel Dänzer               2 (0.1%)
Kyungmin Park                2 (0.1%)
Paul E. McKenney             2 (0.1%)
Mika Kuoppala                2 (0.1%)
Catalin Marinas              2 (0.1%)
Marcus Cooper                2 (0.1%)
Rob Herring                  2 (0.1%)
Paul Walmsley                2 (0.1%)
Steven Rostedt               2 (0.1%)
Toshi Kani                   2 (0.1%)
Jason Gerecke                2 (0.1%)
Aaron Lu                     2 (0.1%)
Paolo Bonzini                2 (0.1%)
Moger, Babu                  2 (0.1%)
John Crispin                 2 (0.1%)
Cyrill Gorcunov              2 (0.1%)
Mel Gorman                   2 (0.1%)
Kirill A. Shutemov           2 (0.1%)
Maya Erez                    2 (0.1%)
Ian Abbott                   2 (0.1%)
Guennadi Liakhovetski        2 (0.1%)
Brian Norris                 2 (0.1%)
Daniel Lezcano               2 (0.1%)
Venkatraman S                2 (0.1%)
Vaibhav Bedia                2 (0.1%)
Jarkko Nikula                2 (0.1%)
Konstantin Dorfman           2 (0.1%)
Paer-Olof Haakansson         2 (0.1%)
Dan Williams                 2 (0.1%)
Matt Fleming                 2 (0.1%)
Huang Shijie                 2 (0.1%)
Dav Hansen                   2 (0.1%)
Donald Dutile                2 (0.1%)
João Paulo Rechi Vita       2 (0.1%)
David Woodhouse              2 (0.1%)
Kalle Valo                   2 (0.1%)
Paul Bolle                   2 (0.1%)
Frank Schäfer               2 (0.1%)
Mohammed Shafi Shajakhan     2 (0.1%)
Helge Deller                 2 (0.1%)
Oleksij Rempel               2 (0.1%)
Bob Peterson                 2 (0.1%)
Pawel Moll                   2 (0.1%)
Shinya Kuribayashi           2 (0.1%)
Clemens Ladisch              2 (0.1%)
Li Zefan                     2 (0.1%)
Mark Salter                  2 (0.1%)
Stephane Eranian             2 (0.1%)
Andy Grover                  2 (0.1%)
Matt Porter                  2 (0.1%)
Przemo Firszt                2 (0.1%)
Andreas Larsson              2 (0.1%)
Geoff Levand                 2 (0.1%)
Michael Cree                 2 (0.1%)
Mike Galbraith               2 (0.1%)
Sebastien Guiriec            2 (0.1%)
Paul Moore                   2 (0.1%)
Tetsuyuki Kobayashi          2 (0.1%)
Vijay Subramanian            2 (0.1%)
Ira W. Snyder                2 (0.1%)
Simon Guinot                 2 (0.1%)
Jan Luebbe                   2 (0.1%)
Chander Kashyap              2 (0.1%)
Stefan Assmann               2 (0.1%)
Prarit Bhargava              2 (0.1%)
Robert Jarzmik               2 (0.1%)
Jonathan Austin              2 (0.1%)
Zlatko Calusic               2 (0.1%)
Keshava Munegowda            2 (0.1%)
Jassi Brar                   2 (0.1%)
Aaditya Kumar                2 (0.1%)
Peter Moody                  2 (0.1%)
Stefan Bader                 2 (0.1%)
Annie Liu                    2 (0.1%)
Mantesh Sarashetti           2 (0.1%)
Zhouping Liu                 2 (0.1%)
Jon Medhurst (Tixy)          2 (0.1%)
Jamie Gloudon                2 (0.1%)
Mike Thompson                2 (0.1%)
Roy Spliet                   2 (0.1%)
Artem S. Tashkinov           2 (0.1%)
Dâniel Fraga                2 (0.1%)
Andrey Rahmatullin           2 (0.1%)
Kilarski, Bernard R          2 (0.1%)
Andrew Wagin                 2 (0.1%)
Pawel Sikora                 2 (0.1%)
Szymon Kowalczyk             2 (0.1%)
Jamie Heilman                2 (0.1%)
Lee G Rosenbaum              2 (0.1%)
Austin Lund                  2 (0.1%)
Matthieu LAVIE               2 (0.1%)
Peter Ross                   2 (0.1%)
Sergio Correia               2 (0.1%)
Romain Francoise             2 (0.1%)
Mario Isidoro                2 (0.1%)
Dominik Köppl               2 (0.1%)
Alex Ferrando                2 (0.1%)
CAI Qian                     2 (0.1%)
Chih-Hsyuan Ho               2 (0.1%)
Long Li                      2 (0.1%)
Sean Patrick Santos          2 (0.1%)
John David Yost              2 (0.1%)
Zdenek Kabelac               2 (0.1%)
Hin-Tak Leung                2 (0.1%)
Kappel, LaurentX             2 (0.1%)
Norbert Preining             2 (0.1%)
Piergiorgio Sartor           2 (0.1%)
Tammy Yang                   2 (0.1%)
Andreas Sturmlechner         2 (0.1%)
Ronald                       2 (0.1%)
WANG Chao                    2 (0.1%)
Matthew Whitehead            2 (0.1%)
Stephen Thirlwall            2 (0.1%)
Jason Tibbitts               2 (0.1%)
Jackey Shen                  2 (0.1%)
Emmanuel Grumbach            1 (0.0%)
Josh Triplett                1 (0.0%)
Alex Elder                   1 (0.0%)
Jerome Glisse                1 (0.0%)
Felipe Balbi                 1 (0.0%)
Eugeni Dodonov               1 (0.0%)
H Hartley Sweeten            1 (0.0%)
Jan Kara                     1 (0.0%)
Viresh Kumar                 1 (0.0%)
Franky Lin                   1 (0.0%)
Daniel Vetter                1 (0.0%)
Rafael J. Wysocki            1 (0.0%)
Jean Pihet                   1 (0.0%)
Thomas Gleixner              1 (0.0%)
Nicolas Pitre                1 (0.0%)
Christoph Lameter            1 (0.0%)
Yinghai Lu                   1 (0.0%)
Benoit Cousson               1 (0.0%)
Pekka Enberg                 1 (0.0%)
Srivatsa S Bhat              1 (0.0%)
David Sterba                 1 (0.0%)
Kees Cook                    1 (0.0%)
Zheng Liu                    1 (0.0%)
Alexander Graf               1 (0.0%)
Tomasz Figa                  1 (0.0%)
Subhash Jadavani             1 (0.0%)
Gerald Schaefer              1 (0.0%)
H. Peter Anvin               1 (0.0%)
Peter Huewe                  1 (0.0%)
Rajendra Nayak               1 (0.0%)
Brian Foster                 1 (0.0%)
Doug Anderson                1 (0.0%)
Dimitri Sivanich             1 (0.0%)
Jacek Danecki                1 (0.0%)
John Fastabend               1 (0.0%)
Ying-Chun Liu (PaulLiu)      1 (0.0%)
Frank Rowand                 1 (0.0%)
Jingoo Han                   1 (0.0%)
James Hogan                  1 (0.0%)
