3.5-3.9

Processed 57498 csets from 2889 developers
387 employers found
A total of 0 lines added, 0 removed (delta 0)

Developers with the most changesets
H Hartley Sweeten         1697 (3.0%)
Marcelo Tosatti             33 (0.1%)
Alexander Block             33 (0.1%)
Thomas Graf                 33 (0.1%)
Alexandre Pereira da Silva   33 (0.1%)
Carolyn Wyborny             33 (0.1%)
Jacob Keller                33 (0.1%)
Kim Phillips                33 (0.1%)
Giuseppe CAVALLARO          33 (0.1%)
Ondrej Zary                 33 (0.1%)
Kent Yoder                  33 (0.1%)
Bart Van Assche             33 (0.1%)
Ying Xue                    33 (0.1%)
Cesar Eduardo Barros        33 (0.1%)
Jeff Liu                    32 (0.1%)
Santosh Shilimkar           32 (0.1%)
Dmitry Kasatkin             32 (0.1%)
Steven Miao                 32 (0.1%)
David Herrmann              32 (0.1%)
Javier M. Mellid            32 (0.1%)
Myron Stowe                 32 (0.1%)
majianpeng                  31 (0.1%)
Wen Congyang                31 (0.1%)
Devin Heitmueller           31 (0.1%)
Benoit Cousson              31 (0.1%)
Andy Adamson                31 (0.1%)
Yaniv Rosner                31 (0.1%)
John Fastabend              31 (0.1%)
Saurav Kashyap              31 (0.1%)
Krishna Gudipati            31 (0.1%)
Tomasz Stanislawski         31 (0.1%)
Sathya Perla                31 (0.1%)
Daniel Borkmann             31 (0.1%)
Maxim Mikityanskiy          31 (0.1%)
Vladimir Kondratiev         31 (0.1%)
Kevin Cernekee              31 (0.1%)
Mark Einon                  31 (0.1%)
Pratyush Anand              30 (0.1%)
Vasanthakumar Thiagarajan   30 (0.1%)
Omar Ramirez Luna           30 (0.1%)
Cody Schafer                30 (0.1%)
Marco Stornelli             30 (0.1%)
Signed-off-by: Sony Chacko   30 (0.1%)
Vipul Kumar Samar           29 (0.1%)
Bing Zhao                   29 (0.1%)
Ian Campbell                29 (0.1%)
Ido Shayevitz               29 (0.1%)
Darrick J. Wong             29 (0.1%)
Mark A. Greer               29 (0.1%)
Jim Cromie                  29 (0.1%)
Roger Quadros               29 (0.1%)
Manjunath Hadli             29 (0.1%)
Lukas Czerner               29 (0.1%)
Anatolij Gustschin          29 (0.1%)
Fenghua Yu                  29 (0.1%)
Rahul Sharma                29 (0.1%)
Neil Horman                 28 (0.0%)
Eric Paris                  28 (0.0%)
Ido Yariv                   28 (0.0%)
Stephen Rothwell            28 (0.0%)
Nishanth Menon              28 (0.0%)
Daniel Drake                28 (0.0%)
Chad Dupuis                 28 (0.0%)
Pavel Emelyanov             28 (0.0%)
Tero Kristo                 28 (0.0%)
Jitendra Kalsaria           28 (0.0%)
Ariel Elior                 28 (0.0%)
Damien Lespiau              28 (0.0%)
Guo Chao                    28 (0.0%)
Kay Sievers                 27 (0.0%)
Li Zefan                    27 (0.0%)
Fred Isaman                 27 (0.0%)
Alex Shi                    27 (0.0%)
Joonyoung Shim              27 (0.0%)
Ilija Hadzic                27 (0.0%)
Cornelia Huck               27 (0.0%)
Bastian Hecht               27 (0.0%)
Paolo Bonzini               27 (0.0%)
John Soni Jose              27 (0.0%)
Venu Byravarasu             27 (0.0%)
Hadar Hen Zion              27 (0.0%)
Patrick McHardy             27 (0.0%)
Stephen Hemminger           27 (0.0%)
Bob Liu                     26 (0.0%)
Chris Mason                 26 (0.0%)
Yuanhan Liu                 26 (0.0%)
Thomas Hellstrom            26 (0.0%)
Xi Wang                     26 (0.0%)
Jonathan Brassow            26 (0.0%)
Mark Salter                 26 (0.0%)
Yogesh Powar                26 (0.0%)
Lukasz Majewski             26 (0.0%)
Bo Shen                     26 (0.0%)
Florian Westphal            25 (0.0%)
Stephane Eranian            25 (0.0%)
Szymon Janc                 25 (0.0%)
Asai Thambi S P             25 (0.0%)
Michal Nazarewicz           25 (0.0%)
Chandrabhanu Mahapatra      25 (0.0%)
Matthew Vick                25 (0.0%)
Philipp Zabel               25 (0.0%)
Andy Grover                 25 (0.0%)
Mihai Caraman               25 (0.0%)
Allan Stephens              25 (0.0%)
Philip, Avinash             25 (0.0%)
Richard Genoud              25 (0.0%)
Dmitry Monakhov             25 (0.0%)
Lv Zheng                    25 (0.0%)
Mark Rutland                25 (0.0%)
Venkatraman S               24 (0.0%)
Brian Foster                24 (0.0%)
Amir Vadai                  24 (0.0%)
Jan Glauber                 24 (0.0%)
David Teigland              24 (0.0%)
RongQing.Li                 24 (0.0%)
Christoffer Dall            24 (0.0%)
Steffen Klassert            24 (0.0%)
Charles Keepax              24 (0.0%)
Padmavathi Venna            24 (0.0%)
Shiraz Hashim               23 (0.0%)
Simon Horman                23 (0.0%)
Mike Dunn                   23 (0.0%)
Josh Triplett               23 (0.0%)
Eyal Shapira                23 (0.0%)
Chun-Yeow Yeoh              23 (0.0%)
Martin Schwidefsky          23 (0.0%)
Michal Hocko                23 (0.0%)
Stephen M. Cameron          23 (0.0%)
